Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,184395945779519","0,431946712720634","0,149004118152158",0,0,0,"24,0361753537654","0,0692970504509231","-2,1597549524525E-05","-0,00108618565053537","0,274580046029045","5,23944662916574E-05","0,277217039635956",0,0,0,0,0,0,package://NIXITO 2026 Corea.SLDASM/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://NIXITO 2026 Corea.SLDASM/meshes/base_link.STL,,tapa2-4;lateral_cupula_frontal-1;tapa_1-1;Nuevo base 2-1;Nuevo base 1-2;base_electronica(1)-1;base brazo-1;altura brazo-2;Base brazo robotico-1;base_livox-1/angulo livox-1;arcos jaula - copia-2;arcos jaula - copia-1;mid-360-asm-1;placa1-1;angulo-2;angulo-1;angulo-3;angulo-4;Placa Latera Izquieda-5;Motorreductor Orugas 2-1;Motorreductor Orugas 2-2;Placa base Nixito-4;cupula_abajo_trasera - 1-1;tapa__-1;base bat-1;tapa baterias2-2;pieza_tapa_bien-3;Escuadra 28x28x20-2;Escuadra 28x28x20-1;tapa baterias2-1;pieza_tapa_bien-1;base bat-2;Escuadra 28x28x20-3;Escuadra 28x28x20-4;Placa Lateran Derecha-1;Motorreductor Orugas-3;Motorreductor Orugas-4;base_livox-1/BASE FEA LIVOX-1;Banda L-2;Banda L-1;Ensamble pantilt-1;Toggle_Switch_OnOff_Big-1/Toggle_Switch_OnOff_Big.step-1/Casing_Metal.step-1;Toggle_Switch_OnOff_Big-1/Toggle_Switch_OnOff_Big.step-1/Lever.step-1;Toggle_Switch_OnOff_Big-1/Toggle_Switch_OnOff_Big.step-1/Nut.step-1;paro_emergencia_bloque-1;Voltimetro-1/Voltimetro.STEP-1/Voltimetro_1.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
flipper_R_link,"0,10014","1,019E-05","-0,004882",0,0,0,"0,87584","0,0009623","-1,7655E-09","-7,6272E-06","0,0085169","8,609E-07","0,0085709",0,0,0,0,0,0,package://NIXITO 2026 Corea.SLDASM/meshes/flipper_R_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://NIXITO 2026 Corea.SLDASM/meshes/flipper_R_link.STL,,Flipper nylamid-2;Brida-10;Brida-9;coldroll para flippers-1,Origin_flipper_R_joint,,flipper_R_joint,continuous,"0,11467","0,16639","0,10463","-1,5708","-0,015767","3,1416",base_link,0,0,1,100,100,,,,,,"0,1",,,,
flipper_L_link,"-0,10014","-0,0015792","0,0047759",0,0,0,"0,87584","0,0009642","-0,00011909","-8,4202E-06","0,008515","-1,4175E-07","0,0085709",0,0,0,0,0,0,package://NIXITO 2026 Corea.SLDASM/meshes/flipper_L_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://NIXITO 2026 Corea.SLDASM/meshes/flipper_L_link.STL,,Brida-13;coldroll para flippers-2;Brida-14;Flipper nylamid-4,Origin_flipper_L_joint,,flipper_L_joint,continuous,"0,11467","0,68797","0,10463","-1,5708",0,0,base_link,0,0,1,100,100,,,,,,"0,1",,,,
dir_R_link,"-5,8013878025398E-06","9,29245505210119E-07","0,0305867376338103",0,0,0,"1,3754826889591","0,00316961596584357","-9,14070031604185E-09","-7,32360840596535E-07","0,00316956036222584","1,17306916419896E-07","0,00491633292421438",0,0,0,0,0,0,package://NIXITO 2026 Corea.SLDASM/meshes/dir_R_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://NIXITO 2026 Corea.SLDASM/meshes/dir_R_link.STL,,Brida_eje-1;sproketeborrar-6;Eje de motor-1,Origin_dir_R_joint,,dir_R_joint,continuous,"-0,44833","0,27294","0,10463","1,5708","0,12355",0,base_link,0,0,1,100,100,,,,,,"0,1",,,,
dir_L_link,"4,8611E-06","-3,2999E-06","0,024587",0,0,0,"1,3755","0,0031696","-2,7199E-08","6,1366E-07","0,0031696","-4,1657E-07","0,0049163",0,0,0,0,0,0,package://NIXITO 2026 Corea.SLDASM/meshes/dir_L_link.STL,1,"0,50196","0,50196",1,0,0,0,0,0,0,package://NIXITO 2026 Corea.SLDASM/meshes/dir_L_link.STL,,sproketeborrar-5;Brida_eje-3;Eje de motor-2,Origin_dir_L_joint,,dir_L_joint,continuous,"-0,44833","0,59694","0,10463","-1,5708","0,042578",0,base_link,0,0,1,100,100,,,,,,"0,1",,,,
